group,indicator,cid,method,value
rl,HV,C22,D-DRL,0.879967
rl,HV,C23,HCMAGRL,0.968855
rl,HV,C23,DDQN,0.462065
rl,HV,C23,EDQN,0.465625
rl,HV,C23,SAC,0.670711
rl,HV,C23,D-DRL,0.73457
rl,HV,C24,HCMAGRL,0.872289
rl,HV,C24,DDQN,0.508984
rl,HV,C24,EDQN,0.540012
rl,HV,C24,SAC,0.608423
rl,HV,C24,D-DRL,0.747935
rl,HV,C25,HCMAGRL,0.89783
rl,HV,C25,DDQN,0.589612
rl,HV,C25,EDQN,0.589612
rl,HV,C25,SAC,0.646011
rl,HV,C25,D-DRL,0.631067
rl,HV,C26,HCMAGRL,0.960224
rl,HV,C26,DDQN,0.656776
rl,HV,C26,EDQN,0.657073
rl,HV,C26,SAC,0.618978
rl,HV,C26,D-DRL,0.639172
rl,HV,C27,HCMAGRL,0.968492
rl,HV,C27,DDQN,0.40343
rl,HV,C27,EDQN,0.812638
rl,HV,C27,SAC,0.848798
rl,HV,C27,D-DRL,0.854453
ablation,IGD,C1,HCMAGRL,0.040695
ablation,IGD,C1,w/o EdgeAttn,0.040597
ablation,IGD,C1,w/o Hierarchy,0.049431
ablation,IGD,C1,w/o Heterogeneity,0.048391
ablation,IGD,C1,w/o Graph,0.045372
ablation,IGD,C2,HCMAGRL,0.060571
ablation,IGD,C2,w/o EdgeAttn,0.0
ablation,IGD,C2,w/o Hierarchy,0.136311
ablation,IGD,C2,w/o Heterogeneity,0.019238
ablation,IGD,C2,w/o Graph,0.0
ablation,IGD,C3,HCMAGRL,0.0
ablation,IGD,C3,w/o EdgeAttn,0.108094
ablation,IGD,C3,w/o Hierarchy,0.245856
ablation,IGD,C3,w/o Heterogeneity,0.077699
ablation,IGD,C3,w/o Graph,0.17434
ablation,IGD,C4,HCMAGRL,0.004597
ablation,IGD,C4,w/o EdgeAttn,0.0
ablation,IGD,C4,w/o Hierarchy,0.022656
ablation,IGD,C4,w/o Heterogeneity,0.004597
ablation,IGD,C4,w/o Graph,0.0
ablation,IGD,C5,HCMAGRL,0.002938
ablation,IGD,C5,w/o EdgeAttn,0.098877
ablation,IGD,C5,w/o Hierarchy,0.138093
ablation,IGD,C5,w/o Heterogeneity,0.062465
ablation,IGD,C5,w/o Graph,0.076698
ablation,IGD,C6,HCMAGRL,0.02226
ablation,IGD,C6,w/o EdgeAttn,0.008853
ablation,IGD,C6,w/o Hierarchy,0.091374
ablation,IGD,C6,w/o Heterogeneity,0.008622
ablation,IGD,C6,w/o Graph,0.011209
ablation,IGD,C7,HCMAGRL,0.096019
ablation,IGD,C7,w/o EdgeAttn,0.102892
ablation,IGD,C7,w/o Hierarchy,0.057388
ablation,IGD,C7,w/o Heterogeneity,0.127945
ablation,IGD,C7,w/o Graph,0.06755
ablation,IGD,C8,HCMAGRL,0.019483
ablation,IGD,C8,w/o EdgeAttn,0.027932
ablation,IGD,C8,w/o Hierarchy,0.088047
ablation,IGD,C8,w/o Heterogeneity,0.01252
ablation,IGD,C8,w/o Graph,0.096316
ablation,IGD,C9,HCMAGRL,0.030329
ablation,IGD,C9,w/o EdgeAttn,0.043731
ablation,IGD,C9,w/o Hierarchy,0.066434
ablation,IGD,C9,w/o Heterogeneity,0.067318
ablation,IGD,C9,w/o Graph,0.087265
ablation,IGD,C10,HCMAGRL,0.0
ablation,IGD,C10,w/o EdgeAttn,0.0
ablation,IGD,C10,w/o Hierarchy,0.0
ablation,IGD,C10,w/o Heterogeneity,0.0
ablation,IGD,C10,w/o Graph,0.0
ablation,IGD,C11,HCMAGRL,0.034783
ablation,IGD,C11,w/o EdgeAttn,0.0
ablation,IGD,C11,w/o Hierarchy,0.028696
ablation,IGD,C11,w/o Heterogeneity,0.054493
ablation,IGD,C11,w/o Graph,0.028696
ablation,IGD,C12,HCMAGRL,0.001965
ablation,IGD,C12,w/o EdgeAttn,0.0
ablation,IGD,C12,w/o Hierarchy,0.038149
ablation,IGD,C12,w/o Heterogeneity,0.035303
ablation,IGD,C12,w/o Graph,0.040995
ablation,IGD,C13,HCMAGRL,0.010988
ablation,IGD,C13,w/o EdgeAttn,0.022135
ablation,IGD,C13,w/o Hierarchy,0.022188
ablation,IGD,C13,w/o Heterogeneity,0.019841
ablation,IGD,C13,w/o Graph,0.003561
ablation,IGD,C14,HCMAGRL,0.179195
ablation,IGD,C14,w/o EdgeAttn,0.067384
ablation,IGD,C14,w/o Hierarchy,0.040967
ablation,IGD,C14,w/o Heterogeneity,0.097181
ablation,IGD,C14,w/o Graph,0.092913
ablation,IGD,C15,HCMAGRL,0.075197
ablation,IGD,C15,w/o EdgeAttn,0.084058
ablation,IGD,C15,w/o Hierarchy,0.081228
ablation,IGD,C15,w/o Heterogeneity,0.050251
ablation,IGD,C15,w/o Graph,0.134071
ablation,IGD,C16,HCMAGRL,0.037624
ablation,IGD,C16,w/o EdgeAttn,0.03748
ablation,IGD,C16,w/o Hierarchy,0.109731
ablation,IGD,C16,w/o Heterogeneity,0.059724
ablation,IGD,C16,w/o Graph,0.031665
ablation,IGD,C17,HCMAGRL,0.001473
ablation,IGD,C17,w/o EdgeAttn,0.125007
ablation,IGD,C17,w/o Hierarchy,0.073635
ablation,IGD,C17,w/o Heterogeneity,0.006641
ablation,IGD,C17,w/o Graph,0.024921
ablation,IGD,C18,HCMAGRL,0.028668
ablation,IGD,C18,w/o EdgeAttn,0.061926
ablation,IGD,C18,w/o Hierarchy,0.081751
ablation,IGD,C18,w/o Heterogeneity,0.054661
ablation,IGD,C18,w/o Graph,0.051343
ablation,IGD,C19,HCMAGRL,0.022919
ablation,IGD,C19,w/o EdgeAttn,0.013904
ablation,IGD,C19,w/o Hierarchy,0.059143
ablation,IGD,C19,w/o Heterogeneity,0.075605
ablation,IGD,C19,w/o Graph,0.069547
ablation,IGD,C20,HCMAGRL,0.040259
ablation,IGD,C20,w/o EdgeAttn,0.053765
ablation,IGD,C20,w/o Hierarchy,0.070246
ablation,IGD,C20,w/o Heterogeneity,0.081053
ablation,IGD,C20,w/o Graph,0.008553
ablation,IGD,C21,HCMAGRL,0.048997
ablation,IGD,C21,w/o EdgeAttn,0.075239
ablation,IGD,C21,w/o Hierarchy,0.101547
ablation,IGD,C21,w/o Heterogeneity,0.022898
ablation,IGD,C21,w/o Graph,0.057301
ablation,IGD,C22,HCMAGRL,0.01134
ablation,IGD,C22,w/o EdgeAttn,0.018709
ablation,IGD,C22,w/o Hierarchy,0.025113
ablation,IGD,C22,w/o Heterogeneity,0.034625
ablation,IGD,C22,w/o Graph,0.028361
ablation,IGD,C23,HCMAGRL,0.022468
ablation,IGD,C23,w/o EdgeAttn,0.044222
ablation,IGD,C23,w/o Hierarchy,0.099946
ablation,IGD,C23,w/o Heterogeneity,0.022041
ablation,IGD,C23,w/o Graph,0.026949
ablation,IGD,C24,HCMAGRL,0.107664
ablation,IGD,C24,w/o EdgeAttn,0.078869
ablation,IGD,C24,w/o Hierarchy,0.050596
ablation,IGD,C24,w/o Heterogeneity,0.127603
ablation,IGD,C24,w/o Graph,0.078842
ablation,IGD,C25,HCMAGRL,0.053947
ablation,IGD,C25,w/o EdgeAttn,0.049119
ablation,IGD,C25,w/o Hierarchy,0.099475
ablation,IGD,C25,w/o Heterogeneity,0.043114
ablation,IGD,C25,w/o Graph,0.008851
ablation,IGD,C26,HCMAGRL,0.037754
ablation,IGD,C26,w/o EdgeAttn,0.091891
ablation,IGD,C26,w/o Hierarchy,0.039655
ablation,IGD,C26,w/o Heterogeneity,0.056039
ablation,IGD,C26,w/o Graph,0.103857
ablation,IGD,C27,HCMAGRL,0.01785
ablation,IGD,C27,w/o EdgeAttn,0.028189
ablation,IGD,C27,w/o Hierarchy,0.017954
ablation,IGD,C27,w/o Heterogeneity,0.026945
ablation,IGD,C27,w/o Graph,0.025271
ablation,Spread,C1,HCMAGRL,0.0
ablation,Spread,C1,w/o EdgeAttn,0.0
ablation,Spread,C1,w/o Hierarchy,0.0
ablation,Spread,C1,w/o Heterogeneity,0.0
ablation,Spread,C1,w/o Graph,0.0
ablation,Spread,C2,HCMAGRL,0.0
ablation,Spread,C2,w/o EdgeAttn,0.0
ablation,Spread,C2,w/o Hierarchy,0.0
ablation,Spread,C2,w/o Heterogeneity,0.0
ablation,Spread,C2,w/o Graph,0.0
ablation,Spread,C3,HCMAGRL,0.090581
ablation,Spread,C3,w/o EdgeAttn,0.445982
ablation,Spread,C3,w/o Hierarchy,0.518655
ablation,Spread,C3,w/o Heterogeneity,0.781945
ablation,Spread,C3,w/o Graph,0.552159
ablation,Spread,C4,HCMAGRL,0.0
ablation,Spread,C4,w/o EdgeAttn,0.0
ablation,Spread,C4,w/o Hierarchy,0.0
ablation,Spread,C4,w/o Heterogeneity,0.0
ablation,Spread,C4,w/o Graph,0.0
ablation,Spread,C5,HCMAGRL,0.493855
ablation,Spread,C5,w/o EdgeAttn,0.583388
ablation,Spread,C5,w/o Hierarchy,0.61956
ablation,Spread,C5,w/o Heterogeneity,0.350699
ablation,Spread,C5,w/o Graph,0.400933
ablation,Spread,C6,HCMAGRL,0.559476
ablation,Spread,C6,w/o EdgeAttn,0.300991
ablation,Spread,C6,w/o Hierarchy,0.0
ablation,Spread,C6,w/o Heterogeneity,0.0
ablation,Spread,C6,w/o Graph,0.0
ablation,Spread,C7,HCMAGRL,0.220478
ablation,Spread,C7,w/o EdgeAttn,0.687894
ablation,Spread,C7,w/o Hierarchy,0.0
ablation,Spread,C7,w/o Heterogeneity,0.662348
ablation,Spread,C7,w/o Graph,0.424467
ablation,Spread,C8,HCMAGRL,0.094635
ablation,Spread,C8,w/o EdgeAttn,0.311995
ablation,Spread,C8,w/o Hierarchy,0.0
ablation,Spread,C8,w/o Heterogeneity,0.25077
ablation,Spread,C8,w/o Graph,0.873145
ablation,Spread,C9,HCMAGRL,0.0
ablation,Spread,C9,w/o EdgeAttn,0.238872
ablation,Spread,C9,w/o Hierarchy,0.0
ablation,Spread,C9,w/o Heterogeneity,0.803979
ablation,Spread,C9,w/o Graph,0.682308
ablation,Spread,C10,HCMAGRL,0.0
ablation,Spread,C10,w/o EdgeAttn,0.0
ablation,Spread,C10,w/o Hierarchy,0.0
ablation,Spread,C10,w/o Heterogeneity,0.0
