method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
EDQN,M8_A8_R4_J2,0.75,0.25,1088.9416666666666,68.37162544993846,878.1,114.20567780152291,20,C13,1.0,0.7042025190173338,0.9260506297543334,9.0
EDQN,M8_A8_R4_J2,1.0,0.0,1209.25,41.432094094465356,2381.55,148.7567689746906,20,C13,1.0,1.0,1.0,8.5
EDQN,M8_A8_R6_J3,0.0,1.0,2350.908333333333,176.39036217554815,625.9,52.20395226013972,20,C14,0.0,0.8884073672806068,0.8884073672806068,7.5
EDQN,M8_A8_R6_J3,0.25,0.75,2283.833333333333,47.15260778634243,608.9,53.7184668825398,20,C14,0.0,0.6684059483433339,0.5013044612575004,7.0
EDQN,M8_A8_R6_J3,0.5,0.5,2321.2416666666663,132.42224326636335,616.3,46.79867294564755,20,C14,0.1724814519590406,0.6301859799713874,0.401333715965214,4.0
EDQN,M8_A8_R6_J3,0.75,0.25,2316.7916666666665,132.19463183932427,605.7,42.7232218379013,20,C14,0.43726677677861386,0.7981001449042024,0.5274751188100111,4.0
EDQN,M8_A8_R6_J3,1.0,0.0,2392.8499999999995,164.35067966525955,830.6,99.94335237628627,20,C14,0.6680080482897377,0.7762956483708726,0.6680080482897377,7.0
EDQN,M8_A8_R8_J4,0.0,1.0,2377.8666666666663,91.7279794949296,1391.5,241.25996025253053,20,C15,0.0,0.845179005174781,0.845179005174781,8.0
EDQN,M8_A8_R8_J4,0.25,0.75,2363.125,88.80807341401324,1381.8,212.5523093511955,20,C15,0.0,0.7435607488377937,0.5576705616283453,7.0
EDQN,M8_A8_R8_J4,0.5,0.5,2359.325,73.3088371167843,1340.3,261.8495148382991,20,C15,0.0,0.6490488956976892,0.3245244478488446,4.0
EDQN,M8_A8_R8_J4,0.75,0.25,2360.2416666666663,92.16071766277076,1353.25,275.9997854690242,20,C15,0.12573661872919734,0.5867768595041322,0.24099667892293103,4.0
EDQN,M8_A8_R8_J4,1.0,0.0,2363.891666666667,91.84974182380381,1141.65,213.65941293760523,20,C15,0.553504729036064,0.02848045285689078,0.553504729036064,6.0
HCMAGRL,M12_A12_R4_J2,0.0,1.0,602.2666666666667,80.67651455039437,544.35,78.91319348032468,20,C22,0.33704425271360994,0.14680147773672955,0.14680147773672955,4.0
HCMAGRL,M12_A12_R4_J2,0.25,0.75,523.1916666666667,41.976541590031545,519.1,69.93222282663183,20,C22,0.2100349673418225,0.12565445026178018,0.14674957953179077,4.0
HCMAGRL,M12_A12_R4_J2,0.5,0.5,482.6666666666667,54.14367933282617,565.75,55.52133302661809,20,C22,0.031835716790710636,0.19834067928441793,0.11508819803756429,3.0
HCMAGRL,M12_A12_R4_J2,0.75,0.25,460.1,15.838586386210418,517.1,18.37876348855987,20,C22,0.0,0.10133308473944257,0.02533327118486064,1.0
HCMAGRL,M12_A12_R4_J2,1.0,0.0,437.2416666666667,8.330784697986777,815.05,60.815921564911555,20,C22,0.0,0.22647224570301494,0.0,1.0
HCMAGRL,M12_A12_R6_J3,0.0,1.0,897.4333333333334,41.73613156921195,1031.05,168.4306744784428,20,C23,0.0,0.03642806520198432,0.03642806520198432,2.0
HCMAGRL,M12_A12_R6_J3,0.25,0.75,904.0833333333334,65.26958266338646,882.35,164.90675993931907,20,C23,0.0,0.0,0.0,1.0
HCMAGRL,M12_A12_R6_J3,0.5,0.5,988.4,98.86657971627882,1029.5,175.16954193310158,20,C23,0.2929295987887962,0.0,0.1464647993943981,4.0
HCMAGRL,M12_A12_R6_J3,0.75,0.25,936.2833333333334,76.48823821212859,1028.35,263.23499107511486,20,C23,0.11016795553407438,0.0010760401721662646,0.08289497669359736,2.0
HCMAGRL,M12_A12_R6_J3,1.0,0.0,789.4333333333334,34.568492905453475,1152.45,136.03384834200952,20,C23,0.020088045475915816,0.056619325386761454,0.020088045475915816,2.0
HCMAGRL,M12_A12_R8_J4,0.0,1.0,1611.8,59.39348911882178,1085.3,104.10829381997027,20,C24,0.0,0.0,0.0,1.0
HCMAGRL,M12_A12_R8_J4,0.25,0.75,1690.9,46.077940581010395,1085.65,80.32583316520416,20,C24,0.45418957188072695,0.08185933880817026,0.17494189707630942,3.0
HCMAGRL,M12_A12_R8_J4,0.5,0.5,1577.7583333333334,88.28847710804892,1089.3,123.94187941807323,20,C24,0.0,0.0584541614339537,0.02922708071697685,1.0
HCMAGRL,M12_A12_R8_J4,0.75,0.25,1500.5500000000002,83.20906699638782,1218.0,191.7720686538826,20,C24,0.0,0.044483341380975275,0.011120835345243819,1.0
HCMAGRL,M12_A12_R8_J4,1.0,0.0,1297.6166666666668,82.45167111814904,1697.8,177.83244627280033,20,C24,0.0,1.0,0.0,1.0
