method,instance_id,M,A,R,J,op_types,sec_per_episode,steps_mean
w/o Graph,M12_A15_R6_J3,12,15,6,3,18,2.048485119408928,163.681
w/o Graph,M12_A15_R8_J4,12,15,8,4,32,4.52620282861311,257.3555
DDQN,M4_A3_R4_J2,4,3,4,2,8,0.5032115443999994,73.372
DDQN,M4_A3_R6_J3,4,3,6,3,18,0.854967720800003,140.79
DDQN,M4_A3_R8_J4,4,3,8,4,32,2.011033799200195,249.77
DDQN,M4_A4_R4_J2,4,4,4,2,8,0.3987536495999982,63.296
DDQN,M4_A4_R6_J3,4,4,6,3,18,1.0460874065999997,163.962
DDQN,M4_A4_R8_J4,4,4,8,4,32,2.1332952101997797,258.814
DDQN,M4_A5_R4_J2,4,5,4,2,8,0.3937576629999987,63.058
DDQN,M4_A5_R6_J3,4,5,6,3,18,0.9011291337999919,145.014
DDQN,M4_A5_R8_J4,4,5,8,4,32,2.3214213767997136,250.514
DDQN,M8_A6_R4_J2,8,6,4,2,8,0.3904595880000004,58.998
DDQN,M8_A6_R6_J3,8,6,6,3,18,1.1239189849999693,173.746
DDQN,M8_A6_R8_J4,8,6,8,4,32,2.7211316012000317,256.966
DDQN,M8_A8_R4_J2,8,8,4,2,8,0.5863477156000072,79.57
DDQN,M8_A8_R6_J3,8,8,6,3,18,1.2563484030000145,178.956
DDQN,M8_A8_R8_J4,8,8,8,4,32,3.6098911127997417,299.612
DDQN,M8_A10_R4_J2,8,10,4,2,8,0.8529505104000005,96.824
DDQN,M8_A10_R6_J3,8,10,6,3,18,1.0874554744000016,146.314
DDQN,M8_A10_R8_J4,8,10,8,4,32,3.0321732496001204,297.988
DDQN,M12_A9_R4_J2,12,9,4,2,8,2.0333592839999537,100.478
DDQN,M12_A9_R6_J3,12,9,6,3,18,1.2908792330000034,164.504
DDQN,M12_A9_R8_J4,12,9,8,4,32,2.7990607163999375,268.666
DDQN,M12_A12_R4_J2,12,12,4,2,8,0.6345050819999901,86.468
DDQN,M12_A12_R6_J3,12,12,6,3,18,1.2991664691999723,163.214
DDQN,M12_A12_R8_J4,12,12,8,4,32,3.4860786649999937,251.228
DDQN,M12_A15_R4_J2,12,15,4,2,8,0.7228353127999949,96.374
DDQN,M12_A15_R6_J3,12,15,6,3,18,1.4618331844000203,176.71
DDQN,M12_A15_R8_J4,12,15,8,4,32,2.48735247360004,266.344
EDQN,M4_A3_R4_J2,4,3,4,2,8,0.4444893299999458,73.044
EDQN,M4_A3_R6_J3,4,3,6,3,18,0.8839232098000867,140.902
EDQN,M4_A3_R8_J4,4,3,8,4,32,1.9897945089999776,255.636
EDQN,M4_A4_R4_J2,4,4,4,2,8,0.40245551640001215,63.252
EDQN,M4_A4_R6_J3,4,4,6,3,18,1.0863377717999247,163.974
EDQN,M4_A4_R8_J4,4,4,8,4,32,2.0821668888001006,265.392
EDQN,M4_A5_R4_J2,4,5,4,2,8,0.4027139139999854,62.954
EDQN,M4_A5_R6_J3,4,5,6,3,18,0.9657999824000871,144.81
EDQN,M4_A5_R8_J4,4,5,8,4,32,2.1094907159999856,265.32
EDQN,M8_A6_R4_J2,8,6,4,2,8,0.41151661460009925,59.306
EDQN,M8_A6_R6_J3,8,6,6,3,18,1.3602875440000934,173.798
EDQN,M8_A6_R8_J4,8,6,8,4,32,2.45743063539984,259.956
EDQN,M8_A8_R4_J2,8,8,4,2,8,0.6421238429998921,79.564
EDQN,M8_A8_R6_J3,8,8,6,3,18,1.5460198365999531,179.36
EDQN,M8_A8_R8_J4,8,8,8,4,32,3.830649562199862,320.376
EDQN,M8_A10_R4_J2,8,10,4,2,8,0.7714095037997322,96.754
EDQN,M8_A10_R6_J3,8,10,6,3,18,1.3162056621999945,146.216
EDQN,M8_A10_R8_J4,8,10,8,4,32,3.895405774400031,319.494
EDQN,M12_A9_R4_J2,12,9,4,2,8,0.9037765971998888,100.456
EDQN,M12_A9_R6_J3,12,9,6,3,18,1.8400373836000217,164.158
EDQN,M12_A9_R8_J4,12,9,8,4,32,3.9787928563997994,284.99
EDQN,M12_A12_R4_J2,12,12,4,2,8,0.8188377422000486,88.376
EDQN,M12_A12_R6_J3,12,12,6,3,18,1.7209685380000155,164.042
EDQN,M12_A12_R8_J4,12,12,8,4,32,3.590672279400023,269.146
EDQN,M12_A15_R4_J2,12,15,4,2,8,0.947521013600126,96.768
EDQN,M12_A15_R6_J3,12,15,6,3,18,2.0076580146001506,176.562
EDQN,M12_A15_R8_J4,12,15,8,4,32,3.842272093599997,277.994
SAC,M4_A3_R4_J2,4,3,4,2,8,0.5729092100000053,74.946
SAC,M4_A3_R6_J3,4,3,6,3,18,1.089841607799848,138.462
SAC,M4_A3_R8_J4,4,3,8,4,32,2.2782376557998503,248.538
SAC,M4_A4_R4_J2,4,4,4,2,8,0.46972522699999925,62.474
SAC,M4_A4_R6_J3,4,4,6,3,18,1.349629524800017,156.002
SAC,M4_A4_R8_J4,4,4,8,4,32,2.267044131199815,256.998
SAC,M4_A5_R4_J2,4,5,4,2,8,0.5146714439999975,68.42
SAC,M4_A5_R6_J3,4,5,6,3,18,1.1707360940000144,137.994
SAC,M4_A5_R8_J4,4,5,8,4,32,2.264564870199858,252.548
SAC,M8_A6_R4_J2,8,6,4,2,8,0.4801463104000018,58.704
SAC,M8_A6_R6_J3,8,6,6,3,18,1.5163258774000423,167.97
SAC,M8_A6_R8_J4,8,6,8,4,32,2.404839561000044,256.71
SAC,M8_A8_R4_J2,8,8,4,2,8,0.7871744081999973,91.44
SAC,M8_A8_R6_J3,8,8,6,3,18,1.6299454089999637,170.78
SAC,M8_A8_R8_J4,8,8,8,4,32,3.06501872620004,298.67
SAC,M8_A10_R4_J2,8,10,4,2,8,0.9941990028000036,115.138
SAC,M8_A10_R6_J3,8,10,6,3,18,1.3490169467999948,138.908
SAC,M8_A10_R8_J4,8,10,8,4,32,3.326779607799937,297.934
SAC,M12_A9_R4_J2,12,9,4,2,8,0.9834185454000198,113.248
SAC,M12_A9_R6_J3,12,9,6,3,18,1.656443408200139,154.372
SAC,M12_A9_R8_J4,12,9,8,4,32,3.160818471600156,265.346
SAC,M12_A12_R4_J2,12,12,4,2,8,0.8491530337999993,92.42
SAC,M12_A12_R6_J3,12,12,6,3,18,1.5792288855999213,151.266
SAC,M12_A12_R8_J4,12,12,8,4,32,3.0464631400000943,249.314
SAC,M12_A15_R4_J2,12,15,4,2,8,1.070786458199991,114.694
SAC,M12_A15_R6_J3,12,15,6,3,18,1.7996849045999552,166.914
SAC,M12_A15_R8_J4,12,15,8,4,32,3.266321838400341,258.354
D-DRL,M4_A3_R4_J2,4,3,4,2,8,0.4708487531999983,69.962
D-DRL,M4_A3_R6_J3,4,3,6,3,18,0.9579488002000107,138.292
D-DRL,M4_A3_R8_J4,4,3,8,4,32,2.035756077800106,248.856
D-DRL,M4_A4_R4_J2,4,4,4,2,8,0.43742425200000096,60.644
D-DRL,M4_A4_R6_J3,4,4,6,3,18,1.099931483799912,156.216
D-DRL,M4_A4_R8_J4,4,4,8,4,32,2.041271223599804,256.61
D-DRL,M4_A5_R4_J2,4,5,4,2,8,0.4536100105999983,62.282
D-DRL,M4_A5_R6_J3,4,5,6,3,18,0.9723253432000638,138.088
D-DRL,M4_A5_R8_J4,4,5,8,4,32,2.2283728958000575,252.806
D-DRL,M8_A6_R4_J2,8,6,4,2,8,0.46617657979999877,58.582
D-DRL,M8_A6_R6_J3,8,6,6,3,18,1.2585533436000114,167.946
D-DRL,M8_A6_R8_J4,8,6,8,4,32,3.1267328983997578,256.294
D-DRL,M8_A8_R4_J2,8,8,4,2,8,0.5877981421999977,74.01
D-DRL,M8_A8_R6_J3,8,8,6,3,18,1.409510861200033,171.954
D-DRL,M8_A8_R8_J4,8,8,8,4,32,4.082385339799876,299.95
D-DRL,M8_A10_R4_J2,8,10,4,2,8,0.7318911322000003,91.776
D-DRL,M8_A10_R6_J3,8,10,6,3,18,1.2542241191999997,139.55
D-DRL,M8_A10_R8_J4,8,10,8,4,32,3.210854699599775,301.064
D-DRL,M12_A9_R4_J2,12,9,4,2,8,0.7825690294000133,97.768
D-DRL,M12_A9_R6_J3,12,9,6,3,18,1.3624943317999787,155.992
D-DRL,M12_A9_R8_J4,12,9,8,4,32,2.9092137584000737,266.456
D-DRL,M12_A12_R4_J2,12,12,4,2,8,0.690609284000001,84.136
D-DRL,M12_A12_R6_J3,12,12,6,3,18,1.3754068998000513,152.78
D-DRL,M12_A12_R8_J4,12,12,8,4,32,3.087414039999814,252.088
D-DRL,M12_A15_R4_J2,12,15,4,2,8,0.8517889376000131,91.018
D-DRL,M12_A15_R6_J3,12,15,6,3,18,1.5709034277999963,169.524
D-DRL,M12_A15_R8_J4,12,15,8,4,32,3.1928907654000795,260.784
